period,tfp_mock,k_effective,y_effective,c_effective,k_per_worker,y_per_worker
0.0,0.997441197115524,0.9,0.9658285256870233,0.7533462500358782,0.8976970774039716,0.9633571608695861
1.0,1.0123590874621038,1.0424053209154391,1.0137995274406897,0.790763631403738,1.0552884994475955,1.0263291644693686
2.0,1.012036139218342,1.1842761164078905,1.057400424399692,0.8247723310317597,1.1985302286179331,1.0701274431173005
3.0,1.0180328046564342,1.3246925833268302,1.0972307862152852,0.8558400132479225,1.3485805059117901,1.1170169346461312
4.0,1.0183016510944423,1.46293844273806,1.1337690499224524,0.884339858939513,1.4897126316896987,1.1545188954958103
5.0,1.0318528173433354,1.5984584436844673,1.1674047216859413,0.9105756829150343,1.6493738485220608,1.204589851051551
6.0,1.0513115413824787,1.7308262602276152,1.1984602855109738,0.9347990226985596,1.8196376235051654,1.2599551300462275
7.0,1.0492878359024824,1.8597197080474275,1.2272065733348665,0.9572211272011959,1.9513812678422815,1.2876929295398432
8.0,1.060189483784283,1.9849012721789427,1.253873836212483,0.9780215922457368,2.1043714551141597,1.329343855144731
9.0,1.0556810257321319,2.1062025865842124,1.2786599037930741,0.9973547249585979,2.223478107004891,1.3498569987988216
10.0,1.0602436358777436,2.2235119172805904,1.3017363197900331,1.015354329436226,2.357464359595066,1.3801576486482978
11.0,1.0602997989517244,2.336763969877093,1.323253038007734,1.0321373696460325,2.477670367458315,1.403044930161859
12.0,1.0421972994724533,2.445931523855344,1.3433420737293358,1.047806817508882,2.549143228856582,1.400027481508439
13.0,1.0697182858224514,2.5510185215381895,1.3621203831728976,1.0624538988748602,2.7288711599611566,1.4570850813715328
14.0,1.0661262283137443,2.65205432865425,1.3796921632139518,1.0761598873068825,2.827424678691295,1.4709260022013213
15.0,1.0655244467995826,2.749088947732723,1.396150709305514,1.088997553258301,2.929221480235756,1.4876327121816026
16.0,1.041249646947603,2.842189012941385,1.411579932215168,1.1010323471278312,2.959428306283573,1.469807106057365
17.0,1.039183252607501,2.9314344304618176,1.4260556080802198,1.1123233743025716,3.046297566252929,1.4819331052039706
18.0,1.0463331792330093,3.016915555468174,1.439646417696798,1.1229242058035025,3.156698844630535,1.5063498132001034
19.0,1.0486348431422186,3.0987308175592583,1.452414817534971,1.1328835576772773,3.2494371048112116,1.5230527843632182
20.0,1.0544821618031976,3.176984722705577,1.4644177751421217,1.1422458646108549,3.3500737184143095,1.5442024213148935
21.0,1.0484749674636953,3.251786172560102,1.4757073943072303,1.1510517675596397,3.409416401473847,1.5472422622322077
22.0,1.05219922814122,3.3232470521691493,1.4863314498894078,1.159338530913738,3.4967179832149635,1.5639168043356553
23.0,1.0380496607810428,3.3914810453110125,1.4963338480658634,1.1671404014913735,3.520525748630433,1.553268843399962
24.0,1.046332712090447,3.456602643330764,1.5057550245765428,1.1744889191697034,3.6167564184152865,1.5755207386089918
25.0,1.0460198686177702,3.5187263187642572,1.5146322910851246,1.1814131870463973,3.6806576416556784,1.5843354701250942
26.0,1.0343743817599445,3.5779658395058958,1.5230001378589166,1.187940107529955,3.7009562031971117,1.575352326018127
27.0,1.0591169881853622,3.6344337029671276,1.5308904994623225,1.1940945895806117,3.8492904772459173,1.6213921350321197
28.0,1.0477070601796568,3.6882406727457813,1.53833298896345,1.199899731391491,3.864195792477522,1.6117223334442807
29.0,1.0558229084910777,3.7394954028973006,1.5453551051993601,1.205376982055501,3.9482449125760426,1.631621321823124
30.0,1.039061750295199,3.7883041370598107,1.5519824168786054,1.2105462851653122,3.9362819273039107,1.6126055665092571
31.0,1.0408095817348755,3.8347704715088504,1.55823872667939,1.2154262068099242,3.991265850500378,1.621829797358261
32.0,1.0487583757560983,3.878995172763041,1.5641462179968302,1.2200340500375275,4.068128676952713,1.6404114470313997
33.0,1.0558448750941447,3.9210760416759687,1.5697255865795612,1.2243859575320577,4.140048043458006,1.6573867158941797
34.0,1.069007878892949,3.9611078170703746,1.5749961589558608,1.2284970039855714,4.2344554655926805,1.6836833031499465
35.0,1.0709431993617586,3.999182112929451,1.5799759992681182,1.2323812794291322,4.282896886850984,1.69206455157099
36.0,1.0700715697447813,4.035387383982212,1.584682005900607,1.2360519646024735,4.318153312506133,1.6957231616003714
37.0,1.0716199595757885,4.069808915226612,1.589129999090188,1.2395213992903467,4.361288465216325,1.7029434253856999
38.0,1.0837928105044037,4.102528831542778,1.5933348005456895,1.242801144425638,4.446291252513094,1.7268448015578863
39.0,1.110634197259418,4.133626124073994,1.5973103059636615,1.245902038651656,4.59094653208148,1.7740274494381467
40.0,1.0962417291163586,4.163176690507038,1.6010695512113977,1.2488342499448903,4.5638480138183555,1.755159253255535
41.0,1.1158613891895992,4.191253386776426,1.604624772848949,1.2516073228221805,4.676857826613955,1.7905388281592733
